Planta Insecto Peso_Normalizado Peso_Bruto
Senecio_jacobaea Tyria_jacobaeae 0.03636363636363636 2
Bellis_perennis Delia_frontella 0.01818181818181818 1
Bellis_perennis Chloropidae_sp. 0.01818181818181818 1
Bellis_perennis Liriomyza_pusilla 0.05454545454545454 3
Euphorbia_paralias Lasius_alienus 0.01818181818181818 1
Anthyllis_vulneraria Bombus_rupestris 0.01818181818181818 1
Anthyllis_vulneraria Scaptomyza_graminum 0.03636363636363636 2
Anthyllis_vulneraria Elachista_sp. 0.01818181818181818 1
Heracleum_sphondylium Andia_cinerella 0.01818181818181818 1
Heracleum_sphondylium Delia_platura 0.07272727272727272 4
Heracleum_sphondylium Dilophus_femoratus 0.12727272727272726 6
Heracleum_sphondylium Dilophus_humeralis 0.18181818181818182 10
Heracleum_sphondylium Pegoplata_aestiva 0.01818181818181818 1
Heracleum_sphondylium Sepsis_cynipsea 0.01818181818181818 1
Heracleum_sphondylium Botanophila_phreniola 0.01818181818181818 1
Heracleum_sphondylium Campopleginae_sp._A 0.01818181818181818 1
Heracleum_sphondylium Phytomyza_heracleana 0.01818181818181818 1
Heracleum_sphondylium Phytomyza_spondyliivora 0.01818181818181818 1
Liriomyza_pusilla Necremnus_folia 0.01818181818181818 1
Holcus_lanatus Phytomyza_nigra 0.05454545454545454 3
Holcus_lanatus Phytomyza_nigra/milii 0.01818181818181818 1
Holcus_lanatus Unknown_LM 0.01818181818181818 1
Phytomyza_nigra Diglyphus_iseae 0.01818181818181818 1
Plantago_lanceolata Phytomyza_plantaginis 0.2 11
Plantago_lanceolata Aspilapteryx_tringipennella 0.5454545454545454 29
Plantago_lanceolata Unknown_LM 0.01818181818181818 1
Phytomyza_plantaginis Dacnusa_plantaginis 0.05454545454545454 3
Phytomyza_plantaginis Epiclerus_panyas 0.01818181818181818 1
Aspilapteryx_tringipennella Plantago_major 0.21818181818181817 12
Aspilapteryx_tringipennella Dacnusini_sp. 0.01818181818181818 1
Aspilapteryx_tringipennella Microgaster_messoria 0.03636363636363636 2
Crataegus_monogyna Unknown_LM 0.09090909090909091 5
Crataegus_monogyna Cnephasia_incertana 0.03636363636363636 2
Crataegus_monogyna Spilonoto_ocellana 0.01818181818181818 1
Crataegus_monogyna Epinotia_sp. 0.01818181818181818 1
Crataegus_monogyna Lyonetia_clerkella 0.01818181818181818 1
Crataegus_monogyna Euthrix_potatoria 0.01818181818181818 1
Grass_3 Lasiocampa_trifolii 0.01818181818181818 1
Grass_21 Lasiocampa_trifolii 0.01818181818181818 1
Grass_21 Eilema_pygmaeola 0.01818181818181818 1
Grass Lasiocampa_trifolii 0.03636363636363636 2
Ammophila_sp. Lasiocampa_trifolii 0.05454545454545454 3
Ononis_repens Unknown_CP 0.10909090909090909 6
Ammophila_sp. Unknown_CP 0.01818181818181818 1
Hedera_helix Unknown_CP 0.01818181818181818 1
Grass Unknown_CP 0.01818181818181818 1
Ammophila_arenaria Lasiocampa_quercus 0.01818181818181818 1
Grass Mythimna_impura 0.03636363636363636 2
Grass Noctua_interjecta 0.01818181818181818 1
Ammophila_sp. Malacosoma_neustria 0.01818181818181818 1
Cirsium_arvense Olibrus_affinis 0.05454545454545454 3
Cirsium_arvense Olibrus_liquidus 0.01818181818181818 1
Cirsium_arvense Ectopsocus_petersi 0.05454545454545454 3
